Name,Entity,Features
体育馆预约,"{'体育馆': ['体育馆名称', '体育场地'], 'datetimeV2': 0}","{'体育馆名称':['综体', '西体', '气膜馆', '体育馆' ,'西湖游泳馆', '游泳馆']}"
图书馆选座,"{'选座': ['图书馆名称', '图书馆座位'], 'datetimeV2': 0}","{'图书馆名称':['北馆', '西馆', '文图', '法图' ,'美术图书馆', '金融图书馆']}"
微信发消息,"{'微信': ['消息内容'], 'personName': 0}",{}
微信发红包,"{'微信': 0, 'personName': 0, 'money': 0}",{}
微信视频通话,"{'微信': 0, 'personName': 0}",{}
微信语音通话,"{'微信': 0, 'personName': 0}",{}
美团打开共享单车,{'美团': ['单车编号']},{}
报修,{'报修': 0},{}
支付宝充话费,"{'支付宝': 0, 'personName': 0, 'money': 0}",{}
支付宝查看健康码,{'支付宝': 0},{}
支付宝转账,"{'支付宝': 0, 'personName': 0, 'money': 0}",{}
微信新建标签,"{'微信': ['标签'], 'personName': 0}",{}
校医院挂号,"{'挂号': ['科室'], 'datetimeV2': 0}","{'科室':['发热门诊', '内科', '外科', '眼科' ,'耳鼻喉科', '中医科', '妇科', '保健科', '针灸科', '儿科', '理疗科', '结核科', '核酸检测']}"
微信清空聊天记录,"{'微信': 0, 'personName': 0}",{}
淘宝清空购物车,{'淘宝': 0},{}
申请出校,"{'出校': ['班级', '事由类型', '事由描述', '往来地点'], 'datetimeV2': 0, 'phoneNumber': 0}","{'事由类型':['出校科研', '出校就医', '出校实习', '出校其他']}"
电表充值,"{'电费': 0, 'money': 0}",{}
淘宝询问客服,"{'淘宝': ['店铺名称', '消息内容']",{}
淘宝进入店铺,{'淘宝': ['店铺名称'],{}
